title,album,attribution,members,release_date,bpm,duration
Unstoppable*Believer,Single,Kasumi Nakasu,Kasumi Nakasu,2020.07.29,140,4:04
Future Harmony,Single,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.07.29,145,4:09
Rainbow Passions!,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.10.21,180,4:16
Sweet Eyes,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.10.21,130,4:53
"NEO SKY, NEO MAP!",Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.11.04,142,4:38
Full Speed Dreamer,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.11.04,175,4:19
Dream with You,Anime Season 1,Ayumu Uehara,Ayumu Uehara,2020.11.18,136,4:19
Poppin' Up!,Anime Season 1,Kasumi Nakasu,Kasumi Nakasu,2020.11.18,215,4:19
DIVE!,Anime Season 1,Setsuna Yuki,Setsuna Yuki,2020.11.18,180,4:04
Ultimate Heart,Anime Season 1,Ai Miyashita,Ai Miyashita,2020.12.02,160,4:13
La Bella Patria,Anime Season 1,Emma Verde,Emma Verde,2020.12.02,185,4:47
Connecting Hearts,Anime Season 1,Rina Tennoji,Rina Tennoji,2020.12.02,175,3:58
Butterfly,Anime Season 1,Kanata Konoe,Kanata Konoe,2020.12.16,155,3:37
Solitude Rain,Anime Season 1,Shizuku Osaka,Shizuku Osaka,2020.12.16,158,4:07
VIVID WORLD,Anime Season 1,Karin Asaka,Karin Asaka,2020.12.16,128,4:36
Awakening Promise,Anime Season 1,Ayumu Uehara,Ayumu Uehara,2021.01.13,146,4:13
Our Dreams Begin Here,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2021.01.13,128,4:43
Colorful Dreams! Colorful Smiles!,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.04.20,185,4:24
Twilight,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.04.20,128,4:14
You Are Our Sun,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.04.27,127,4:26
Splendor! Victory Road,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.04.27,135,4:01
Eutopia,Anime Season 2,Lanzhu Zhong,Lanzhu Zhong,2022.06.22,128,4:09
EMOTION,Anime Season 2,Shioriko Mifune,Shioriko Mifune,2022.06.22,170,3:50
stars we chase,Anime Season 2,Mia Taylor,Mia Taylor,2022.06.22,115,3:13
